appName,link,tags
ULTRAKILL,https://store.steampowered.com/app/1229490/ULTRAKILL,"Early Access,FPS,Arena Shooter,Spectacle fighter,Character Action Game,Blood,Retro,Fast-Paced,Singleplayer,Shooter,First-Person,Difficult,Action,Old School,Robots,3D,Silent Protagonist,Stylized,Sci-fi,Cyberpunk"
DARK SOULS™ III,https://store.steampowered.com/app/374320/DARK_SOULS_III,"Souls-like,Dark Fantasy,Difficult,RPG,Atmospheric,Lore-Rich,Third Person,Exploration,Story Rich,Action RPG,Co-op,Great Soundtrack,Adventure,Action,PvP,Multiplayer,Open World,Singleplayer,Character Customization,Replay Value"
Cuphead,https://store.steampowered.com/app/268910/Cuphead,"Difficult,Cartoon,Co-op,Platformer,Great Soundtrack,Local Co-Op,2D,Hand-drawn,Multiplayer,Indie,Retro,Cartoony,Bullet Hell,Action,Shoot 'Em Up,Singleplayer,Side Scroller,Colorful,Funny,Atmospheric"
Blackout Protocol,https://store.steampowered.com/app/2111870/Blackout_Protocol,"Early Access,Top-Down Shooter,Action Roguelike,Online Co-Op,Zombies,Twin Stick Shooter,Roguelite,PvE,Shooter,Survival,Combat,Thriller,Supernatural,Underground,Dark,Co-op,Action,Roguelike,Atmospheric,Top-Down"
Wartales,https://store.steampowered.com/app/1527950/Wartales,"RPG,Open World,Turn-Based Strategy,Party-Based RPG,Medieval,Co-op,Adventure,Strategy,Singleplayer,Multiplayer,Turn-Based Combat,Exploration,Tactical RPG,Survival,Sandbox,Story Rich,Turn-Based,Indie,Online Co-Op,Violent"
A Plague Tale: Innocence,https://store.steampowered.com/app/752590/A_Plague_Tale_Innocence,"Story Rich,Adventure,Stealth,Female Protagonist,Medieval,Atmospheric,Singleplayer,Action,Third Person,Dark,Horror,Historical,Great Soundtrack,Violent,Emotional,Survival,Puzzle,Dark Fantasy,Post-apocalyptic,Walking Simulator"
Stellaris,https://store.steampowered.com/app/281990/Stellaris,"Space,Grand Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Real-Time with Pause,Moddable,Singleplayer,Diplomacy,Management,Futuristic,Military,Replay Value,Atmospheric,Great Soundtrack,Procedural Generation"
The Wandering Village,https://store.steampowered.com/app/1121640/The_Wandering_Village,"Early Access,Sandbox,City Builder,Procedural Generation,Nature,RTS,Strategy,Base Building,Cute,Survival,Relaxing,Post-apocalyptic,Singleplayer,Roguelike,Resource Management,Economy,Real-Time with Pause,Family Friendly,Emotional,Management"
Against the Storm,https://store.steampowered.com/app/1336490/Against_the_Storm,"Strategy,Simulation,Base Building,City Builder,Resource Management,Management,Building,Grand Strategy,RTS,Colony Sim,4X,Sandbox,Survival,Singleplayer,Open World,Replay Value,Economy,Historical,Early Access,Moddable"
Ember Knights,https://store.steampowered.com/app/1135230/Ember_Knights,"Action Roguelike,Roguelite,Pixel Graphics,Dungeon Crawler,Hack and Slash,Adventure,RPG,Multiplayer,Co-op,Online Co-Op,Action,Singleplayer,2D,Local Co-Op,Roguelike,Local Multiplayer,Top-Down,Procedural Generation,Combat,Choices Matter"
